id,ppt_id,bet_no,play_duration (ms),old_bonus,total_stake,win_number,winnings,new_bonus,average_odds,total_numbers_bet,num_tokens
51,4,28,5279,£1.30,£0.20,25,£0.40,£1.50,£1.03,18,1,"[0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4]"
50,4,27,6188,£1.50,£0.20,23,£0.00,£1.30,£2.03,12,1,"[0, 0, 0, 0.6, 0, 0, 0.6, 0, 0, 0.6, 0, 0, 0.6, 0, 0, 0.6, 0, 0, 0.6, 0, 0, 0.6, 0, 0, 0.6, 0, 0, 0.6, 0, 0, 0.6, 0, 0, 0.6, 0, 0, 0.6]"
49,4,26,5307,£1.70,£0.20,29,£0.00,£1.50,£1.03,18,1,"[0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4]"
48,4,25,7569,£2.10,£0.40,22,£0.00,£1.70,£0.53,27,2,"[0, 0.8, 0.4, 0.8, 0.4, 0.8, 0.4, 0.8, 0.4, 0.8, 0.4, 0.4, 0.8, 0.4, 0.8, 0.4, 0.8, 0.4, 0.8, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4]"
47,4,24,3691,£2.30,£0.20,4,£0.00,£2.10,£1.03,18,1,"[0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0]"
46,4,23,8590,£2.10,£0.20,24,£0.40,£2.30,£1.03,18,1,"[0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4]"
45,4,22,2303,£1.90,£0.20,30,£0.40,£2.10,£1.03,18,1,"[0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4]"
44,4,21,2347,£2.10,£0.20,6,£0.00,£1.90,£2.03,12,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]"
43,4,20,4015,£2.30,£0.20,19,£0.00,£2.10,£1.03,18,1,"[0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0]"
42,4,19,1929,£2.50,£0.20,10,£0.00,£2.30,£1.03,18,1,"[0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4]"
